From	To
P97377	CHEMBL4106186
Q3THK7	CHEMBL2765
O88427	CHEMBL3600280
Q9EP96	CHEMBL2073700
P0C5J4	CHEMBL4105791
P60710	CHEMBL5169138
Q9CWS0	CHEMBL3988621
P97772	CHEMBL2892
Q60613	CHEMBL2115
P28705	CHEMBL4402
Q9R155	CHEMBL4523483
P30873	CHEMBL4242
Q00690	CHEMBL2545
Q9Z2W8	CHEMBL2096617
P04117	CHEMBL1075118
P34968	CHEMBL3006
Q60670	CHEMBL5169157
P52792	CHEMBL3112387
P28474	CHEMBL3341
Q3U7R1	CHEMBL3621032
P35374	CHEMBL4680025
Q08369	CHEMBL1687680
Q9JJX7	CHEMBL3813588
P13707	CHEMBL1075171
Q04859	CHEMBL2176784
Q7TMA4	CHEMBL2052036
Q8K1N1	CHEMBL3259504
Q03142	CHEMBL3839
Q9JL18	CHEMBL3638357
Q62447	CHEMBL4296068
Q63886	CHEMBL4523337
Q9D0R2	CHEMBL3751649
O88509	CHEMBL2189115
Q9QZM3	CHEMBL2176788
Q8BZP8	CHEMBL5497
Q60644	CHEMBL2417346
P56484	CHEMBL1075278
Q9Z280	CHEMBL3309054
P53798	CHEMBL4778
Q62035	CHEMBL3993
Q80V72	CHEMBL4523367
P70671	CHEMBL4105802
Q9WVG5	CHEMBL2380190
Q61041	CHEMBL4105736
Q9Z2X8	CHEMBL3562164
Q9WTK7	CHEMBL3734644
O09158	CHEMBL3637781
P35969	CHEMBL3516
Q9QY30	CHEMBL2073695
P02716	CHEMBL3038460
P02716	CHEMBL3137264
Q3ULW8	CHEMBL3292
Q8BUN5	CHEMBL4888441
Q9QUN7	CHEMBL1075106
P26011	CHEMBL2111481
Q60737	CHEMBL3537
Q3TRM4	CHEMBL3259506
Q91YM2	CHEMBL4879499
Q9DAR7	CHEMBL4105708
Q3UVX5	CHEMBL1641352
Q8K3Y3	CHEMBL4295897
Q00993	CHEMBL4879451
P97717	CHEMBL2486
P47746	CHEMBL3037
Q8CIW6	CHEMBL4523388
P16092	CHEMBL3960
P0DMN7	CHEMBL3584
P18762	CHEMBL3707
Q8BRK8	CHEMBL1255154
Q9Z0W1	CHEMBL4523515
P97952	CHEMBL4630761
P97952	CHEMBL4630764
P97952	CHEMBL4630766
Q6PAM0	CHEMBL3708161
P55088	CHEMBL5965
P42232	CHEMBL4523225
Q64133	CHEMBL3681
Q922D4	CHEMBL4879500
Q61161	CHEMBL4295856
P10810	CHEMBL2384896
O08528	CHEMBL4105980
Q9Z0Y2	CHEMBL4378
Q80UJ1	CHEMBL5269
Q8BHY3	CHEMBL4105874
Q9ET01	CHEMBL3008
Q9EP73	CHEMBL4523448
Q8CE90	CHEMBL4523385
Q8BRU6	CHEMBL4295886
Q68FE2	CHEMBL4879478
Q9QZT4	CHEMBL5361
Q01320	CHEMBL3586
P70658	CHEMBL1250365
Q5QD14	CHEMBL3784908
P12791	CHEMBL1907983
Q8VDQ8	CHEMBL3232691
P04370	CHEMBL1764935
Q9WVC6	CHEMBL3988610
Q8CIB5	CHEMBL4879490
Q67BT3	CHEMBL3769294
Q02789	CHEMBL3988632
O09114	CHEMBL4334
Q9JIW5	CHEMBL3883282
P47936	CHEMBL5373
Q8C2B3	CHEMBL3832944
P25799	CHEMBL1949489
P42337	CHEMBL2499
P54818	CHEMBL2218
Q8VCQ6	CHEMBL4523408
P45376	CHEMBL3108653
Q6IE26	CHEMBL4295863
Q9ERB5	CHEMBL2073688
P63137	CHEMBL4296059
Q8K4Z6	CHEMBL3347255
P51660	CHEMBL3621031
P61793	CHEMBL3621025
P35396	CHEMBL2458
P51675	CHEMBL3872
Q91XA9	CHEMBL2052027
Q0VGT2	CHEMBL4523629
P48542	CHEMBL4680029
Q9R053	CHEMBL4523482
Q08874	CHEMBL1075142
P70245	CHEMBL3774293
Q8BQP8	CHEMBL2176809
P20917	CHEMBL1250416
P06869	CHEMBL1075311
P09581	CHEMBL5570
Q02053	CHEMBL5169143
O54890	CHEMBL3430891
O54890	CHEMBL3430894
P47809	CHEMBL2201
O54908	CHEMBL3745589
O35949	CHEMBL5775
P56726	CHEMBL6080
Q8BJ56	CHEMBL3425391
Q99N13	CHEMBL3832944
Q8BWG9	CHEMBL4295887
P00520	CHEMBL3099
P26450	CHEMBL4106132
P26450	CHEMBL4106142
P26450	CHEMBL4106168
O88643	CHEMBL4295682
Q6T3U4	CHEMBL1075296
Q8R2Y0	CHEMBL5010
P67871	CHEMBL4095
Q9EPB5	CHEMBL3259500
Q9WTW5	CHEMBL2073684
P34971	CHEMBL3440
